sale_id,sale_date,product_id,quantity,category,revenue,cost,profit
1,2025-01-01,40,1,Sports,176.83,88.95,87.88
2,2025-01-01,19,1,Apparel,72.65,45.18,27.47
3,2025-01-01,3,1,Home & Kitchen,52.32,29.61,22.71
4,2025-01-01,32,2,Sports,221.04,117.32,103.72
5,2025-01-01,119,2,Home & Kitchen,289.3,183.28,106.02
6,2025-01-01,100,1,Electronics,253.6,142.04,111.56
7,2025-01-01,16,3,Apparel,255.87,135.84,120.03
8,2025-01-01,92,1,Electronics,619.14,386.13,233.01
9,2025-01-01,126,1,Home & Kitchen,108.45,55.71,52.74
10,2025-01-01,14,3,Beauty,139.98,69.93,70.05
11,2025-01-01,84,2,Electronics,475.12,278.22,196.9
12,2025-01-01,119,1,Home & Kitchen,144.65,91.64,53.01
13,2025-01-01,69,1,Home & Kitchen,116.0,47.74,68.26
14,2025-01-01,143,1,Apparel,89.3,54.57,34.73
15,2025-01-01,113,1,Sports,151.34,83.36,67.98
16,2025-01-01,85,2,Electronics,1414.12,916.8,497.32
17,2025-01-01,21,2,Beauty,54.14,24.78,29.36
18,2025-01-01,149,1,Apparel,46.8,24.94,21.86
19,2025-01-01,87,3,Beauty,154.2,86.28,67.92
20,2025-01-01,11,1,Home & Kitchen,47.38,19.96,27.42
21,2025-01-01,60,2,Home & Kitchen,170.96,100.18,70.78
22,2025-01-01,90,1,Apparel,82.27,40.87,41.4
23,2025-01-01,102,1,Beauty,37.1,17.91,19.19
24,2025-01-01,101,1,Apparel,89.99,47.95,42.04
25,2025-01-01,139,1,Home & Kitchen,13.27,7.12,6.15
26,2025-01-01,29,1,Sports,162.79,101.63,61.16
27,2025-01-01,117,1,Apparel,52.11,26.04,26.07
28,2025-01-01,141,1,Home & Kitchen,127.82,56.22,71.6
29,2025-01-01,137,2,Home & Kitchen,103.9,61.58,42.32
30,2025-01-01,12,1,Sports,83.23,45.92,37.31
31,2025-01-01,3,1,Home & Kitchen,52.32,29.61,22.71
32,2025-01-01,64,2,Sports,33.5,16.94,16.56
33,2025-01-01,85,1,Electronics,707.06,458.4,248.66
34,2025-01-01,101,1,Apparel,89.99,47.95,42.04
35,2025-01-01,138,2,Home & Kitchen,87.46,44.44,43.02
36,2025-01-01,75,1,Electronics,687.32,431.97,255.35
37,2025-01-01,10,2,Apparel,165.76,97.82,67.94
38,2025-01-01,102,1,Beauty,37.1,17.91,19.19
39,2025-01-01,124,1,Sports,36.53,19.43,17.1
